ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
S12A7	0.36008194815881917	12.760736015573725	4.405844613985307	7.420851155971026e-4	0.0057424835263668325	-1.613699450864952
SYT17	0.6851608980874484	12.774761805317947	4.403308139249038	7.455191101617635e-4	0.005751887023539717	-1.6184644247357474
INO1	0.5769776116190665	16.233311321939336	4.398818435398651	7.516378595797794e-4	0.005793347506394395	-1.626900110371424
RAB9A	0.3522328211340737	14.373232856724853	4.394073409919391	7.581610958356966e-4	0.005832066115048677	-1.6358174744296274
SMTN	0.24159330669938828	13.43999198885989	4.3920287106880025	7.609900902190197e-4	0.005848043410704858	-1.639660711731854
DIP2C	0.2401652450897451	13.91180014787184	4.383918378077226	7.723193894488875e-4	0.005923400287715975	-1.6549086255906884
ASCC2	0.3281865935314368	15.471310409350782	4.380663258907527	7.769154107787206e-4	0.0059448690695010666	-1.6610300798698674
SRPX2	0.5955296721764674	12.582704465679296	4.380312860564486	7.774118353712981e-4	0.0059448690695010666	-1.6616890814028737
SYTC2	0.36204422752246873	12.967832307771175	4.3769982766472655	7.821240195135038e-4	0.005969164376601098	-1.6679234230190225
CBPC1	0.37098204036456867	12.400806523384396	4.374346734139504	7.859148618393164e-4	0.0059863466018847825	-1.672911356036015
EPHX4	0.5082304584012423	12.879128413264668	4.37125151964455	7.903640691852118e-4	0.006008466633483277	-1.6787346784854176
SAR1B	0.271439015896559	16.22341109605288	4.369189323994093	7.93342824303336e-4	0.006025221820905317	-1.6826149485365258
DIAP3	0.4227777821371849	12.175665935830956	4.36735450420736	7.960029083963621e-4	0.006039526457169276	-1.6860676951760203
LPIN3	0.4204600092152152	12.610537184355952	4.353260251118446	8.167466185924335e-4	0.006160852039566785	-1.7125998675992697
PP6R1	0.26349644019129553	14.201688527237383	4.34584805119003	8.278793437599928e-4	0.006232737324706161	-1.7265600683432432
PPME1	0.6796577036705568	15.823619428511591	4.341154060601547	8.350105146395029e-4	0.006280345040958814	-1.7354032015538339
PXL2A	0.2707665242187393	14.897837121852907	4.336947458237959	8.414552046745052e-4	0.006322702537926209	-1.7433297255593105
RT31	0.4083357734575941	14.704885222736841	4.3254679445626545	8.593052752121796e-4	0.006435793479359512	-1.7649682592592733
CDK2	0.30225642139070935	13.646133797150853	4.324710638895147	8.604965256773384e-4	0.006435793479359512	-1.7663961477962244
BABA2	0.6816509202508638	13.855534222737706	4.322046045864174	8.647015486953588e-4	0.006456794367787592	-1.7714205806476064
PALLD	0.3978781232849557	18.254651064770528	4.321262114406717	8.659427189922153e-4	0.006456794367787592	-1.7728988974824311
RAB3D	0.4320080510394525	14.010512965860011	4.313674696542151	8.780511926022264e-4	0.0065345494017870955	-1.7872096978698542
ODPB	0.4006755130499833	16.98056056122617	4.312638176190565	8.797188707177268e-4	0.006537132074659865	-1.7891650745175118
CYC	0.4191435038448471	17.612181709560385	4.310115841883786	8.837907938846058e-4	0.006558436072557805	-1.7939237844496878
ODBA	0.34259783099110985	16.169761833837047	4.3059334496525965	8.905856054240556e-4	0.006602558868811135	-1.8018155692416666
HOOK3	0.29122953273785823	14.865480442037816	4.304472883257914	8.929711742887104e-4	0.0066139398308983815	-1.8045718624021152
