"ProteinID","f_control_1_imputed_intensity","f_control_2_imputed_intensity","f_control_3_imputed_intensity","f_wvirus_1_imputed_intensity","f_wvirus_2_imputed_intensity","f_wvirus_3_imputed_intensity","m_control_1_imputed_intensity","m_control_2_imputed_intensity","m_control_3_imputed_intensity","m_wvirus_1_imputed_intensity","m_wvirus_2_imputed_intensity","m_wvirus_3_imputed_intensity"
"TMEM128","12.7068024826596","12.16478439293","11.6790445861882","13.2302576620546","12.9771868895701","13.2804170113381","10.5702541926851","11.0941832770531","11.1747759139962","11.8541281500369","11.8090405697911","12.4076740625895"
"YIF1B","15.0074346760751","13.868359583693","14.359989715021","14.3213291957983","13.8835215420605","13.7828344430946","14.3774206821225","14.6021014841641","14.6983845387185","13.5680629905526","13.8528415784171","13.4083828190787"
"ALG10","11.8232955812282","11.8411515285117","12.143080228974","11.990079138508","10.3029016234311","10.4131120011485","11.5502561856627","11.4230371009093","12.0480747138487","11.4656314050976","11.1308665358863","10.2288464261146"
"C19orf54","13.0627612349016","11.00823951858","12.0281305365131","13.4874757977695","13.4395841817719","13.2756894951537","12.2521450223559","12.9100617882427","12.8629995354729","13.3270052142938","13.1286758623835","13.5041237846946"
"FAM133B","12.3195479399732","11.0155772055804","10.8538241548195","13.0221510456866","12.9770330125959","10.7766259665198","10.6084552362423","10.7156700020799","11.8854523450843","13.2609944883652","13.2099650417029","13.3741157239657"
"ZNF326","14.7254621219239","14.7790472950122","14.7117906339842","15.0556679727062","15.0724215497941","15.1186410206345","15.0429076238303","14.8951302881233","14.9447761062054","14.8636442582805","15.0946921521249","15.4055403833769"
"NOM1","12.7899492768855","12.6807638786152","12.9509458604312","13.9077169029623","13.967109152213","13.7101283970988","12.9440366689968","12.8921424340921","13.0121845405677","13.3546626234741","13.2316832012241","12.5262571394869"
"DALRD3","10.6531316913496","11.3899216772901","11.2011069656559","10.8681589167422","10.5226248446439","10.8822074241856","11.4733658341646","11.5810263556202","11.4770600192539","10.8464933159646","10.9423825454897","10.7500704858657"
"FLG2","9.86826542806098","10.0297703453638","10.577032221224","13.326682273685","14.1273495410591","14.3418037204344","11.4344367947941","9.94385248285957","11.001211899813","11.9451914158237","11.172640021725","12.0696813587915"
"MEST","16.9283564423426","16.6082808152082","16.8436021396233","16.4335561018803","16.9388789075541","16.5408575584048","14.5724278601195","14.9548233537739","15.1234424649584","15.9088218187492","15.9246594317755","15.5041486191404"
"RILPL1","14.7588373955175","14.5031673333279","14.599372427522","14.8805449171631","14.2451590011958","14.3430260550261","14.6248982407941","14.671856151927","14.6738611342838","14.4484906140078","14.3295370894214","14.8034399677663"
"PDZD11","12.1819193777615","10.75140404913","12.5125775208975","13.9000648783021","13.8939650786423","14.0169214289759","12.8119285435445","12.5880423142148","12.7489035373325","14.1980152384876","14.3349226871463","14.650041989721"
"CMPK2","10.4051248172612","10.3144505237963","9.72345835178587","13.9300350353552","13.9436961075835","13.8351128511936","12.0933086153398","10.3374859434136","11.7396118636428","14.6103731774268","14.107544031976","14.2797121348523"
"DNAJC21","14.6299883439252","14.2260433431738","14.510300581928","15.1377636631414","15.2115195147569","15.1699993571807","14.7240501465564","14.7678430506399","14.9261477142896","15.0685977619009","15.0876783012122","15.3086554383092"
"ARSJ","13.1346124210118","12.9117945529526","13.3002953547912","13.3575657497416","13.5944645740145","13.4253863935482","13.092879342055","12.9804520086979","12.8746394544869","12.8267808409906","12.8719225591339","13.02189955476"
"HERC4","16.1496955257247","16.1294842717463","16.2284034802264","16.0259289691228","15.7687529356677","15.692746253628","16.206499306969","16.2215134893783","16.1855820314953","15.7503563176396","15.6079428666796","15.5657774395954"
"PIGG","13.0528940467474","12.9958378002273","12.9835066951079","12.4710527909107","11.9380394692635","12.4306563963457","12.8529605369567","12.6671425960621","12.4989065343249","11.7321674256634","11.6644383954569","11.4132735579111"
"ARMCX4","10.9717016094902","10.152969262819","10.4943856072772","11.2867252385007","10.9921121626755","11.6167372088595","11.6161812313319","11.4850192001893","11.2735100618439","10.6386440670158","11.1248063000587","11.2932532163207"
"PPP6R3","15.6009930645996","15.6814333425559","15.7727527187839","15.5357583409865","15.2189150885778","15.2279317615949","15.5233506082957","15.5213642649552","15.5567694709519","15.5686004160736","15.5342116775083","15.9296976239165"
"DDX60L","12.4380146875678","12.0083375753359","12.0937509633883","13.0396918994489","12.7226816099829","12.7764042440581","12.4516721853117","12.6660997037221","12.5449113205484","13.8413776108108","13.6253892233177","13.4739847248503"
"TMEM67","11.2942531364445","11.2356014215888","12.2878104794769","11.2560376311416","12.1039794804303","11.7663466968005","11.3832506793147","11.0804444834348","11.0563464374163","10.3601118355054","11.0014926423626","11.8325854657994"
"MTX3","13.2423866547353","13.3408098104476","13.4235098917728","14.169102919505","14.0250270636774","14.0269815603151","13.5186531556734","13.6621899195172","13.786524895098","14.2047545260312","14.0809174337779","13.9725400918495"
"RABL3","15.2986103497846","14.6938898278477","14.9031993031045","15.4910419785667","15.2057207158058","15.2895902671312","15.0658578629481","15.0738110303522","15.1544621370864","14.9866686887201","15.0043214303666","14.9525365111764"
"FAM76B","12.3823160026186","9.4813546472852","12.5226771519924","13.5152316748009","13.3716949800432","13.5493154029565","12.9125768930741","12.5756503281854","12.2675738359149","13.7822099152895","13.2801327815998","13.3723889792462"
"COQ5","12.6063820775694","12.7214474276162","12.4236175613632","13.3028959130779","13.0981291588544","13.0723671151872","12.2705815007472","11.9010177096116","11.7241258421743","12.3615600272133","12.3814104637352","12.7384490882375"
"SH3D19","13.0764532079944","13.0988644200153","13.035000086927","13.2790461017994","13.0678007023098","13.1814411397385","13.3808127670687","13.2777741258724","13.1470856495884","13.0309636444307","13.0974692431386","12.9663324046414"
"NHSL2","11.7474461455788","11.8888992280627","12.0156763865131","12.3405010724644","12.3788854703866","11.4537387650731","10.352445415349","10.5602117948461","10.83720475774","11.6023416261999","11.4797252833567","11.6376528086366"
"EMC4","15.5496763895737","15.1711142336308","15.3199225670965","15.6526181339384","15.3371340458836","15.4130196265698","15.111192737739","15.3106340811338","15.2514306312595","15.1695727379707","15.1669358600919","15.1550988694173"
"EARS2","14.2348772927402","14.3624438615289","14.3386806789873","14.5179584394403","14.3810088713229","14.4059724225304","14.1982224809024","14.3771495128606","14.4571243315408","14.6936775183073","14.6684916899232","14.3082608061859"
"C3orf38","12.519304532437","12.2461408351628","12.486729454649","12.4325392905902","12.4331342024009","12.5690604832744","12.5514559361264","12.2438136507061","12.4328315586264","12.7178434713123","12.459992500742","12.8348008727289"
"EEF1AKMT2","12.4708520338266","12.6354551286926","12.5037785416215","12.3734008032416","12.081133873414","11.8703916927962","13.2331957329396","13.2602756446551","12.8898879718658","12.3722338789817","12.8329631752983","12.9598407786669"
"MIA3","15.1021438552331","15.0109956996651","15.0442574940408","15.0426298039664","15.0279319068085","15.0909146129911","15.1857504240001","15.1250259443922","15.1407259415523","14.5047941647242","14.6076250650765","15.2668670459844"
"PITRM1","15.0598176196492","15.1813386395337","15.0035354801341","15.6724833535883","15.3909649333101","15.3001845126079","14.8727085427622","14.7784313925488","14.8886909350363","15.122055493313","14.9929648820767","15.0376970838956"
"NHLRC3","9.56424203393167","10.0752644296196","10.2877977362815","14.276749631538","15.1010975126484","15.20868017734","10.5776492952974","10.5336801419843","9.61131020206675","13.673463673299","13.837095693393","14.252318020404"
"PSMG4","10.1637030622439","9.32362676955323","10.0072655933272","9.99336301213637","10.3956663405934","11.1963137722452","11.1595827286158","10.569435531785","10.9346673279022","10.4191185099778","12.8242706320164","12.5613332972081"
"WDR44","14.2622563758776","14.0238063226458","14.2783913775409","15.2885561093814","15.5203884840777","15.4146984472398","14.0161118382205","13.9195430663434","14.0188608569669","14.6242699962483","14.7510314095991","15.3352472784802"
"DOCK11","12.6395736014352","12.807175781669","12.8735190907197","12.2373772893324","9.48845981774361","9.80368343246049","12.885273110544","12.6643895044768","12.8205958314733","13.1659825775232","12.9927507311393","13.1402562206415"
