"ProteinID","female_1_imputed_intensity","female_2_imputed_intensity","female_3_imputed_intensity","female_4_imputed_intensity","female_5_imputed_intensity","female_6_imputed_intensity","male_1_imputed_intensity","male_2_imputed_intensity","male_3_imputed_intensity","male_4_imputed_intensity","male_5_imputed_intensity","male_6_imputed_intensity"
"FAM8A1","13.5694759017777","13.2861346514842","13.050585020583","13.1171674270674","13.0220972823452","13.1820171796486","12.6732936148768","13.0226174886411","13.1271754010634","12.8802454814689","13.2237151573944","13.2014837768156"
"MORF4L1","14.5451635862798","14.3609019384616","14.3659122994708","14.0363024188605","14.4403176724737","14.4476644242824","14.2742907851362","14.1724587625323","14.0099510523435","13.8020316157049","14.4697435551924","14.3510772583079"
"NXF1","14.5324533355749","14.4772206966393","14.6539086803699","14.4075598857255","14.4541514689319","14.6156468774846","14.4207497582968","14.5427840170683","14.4125036908937","14.2814084766548","14.5665832940591","14.4881790675045"
"SEL1L","15.0059753565004","15.0211057700269","15.0978510765622","14.9366931431138","14.9877480865149","14.9233321284828","15.0178958173562","15.1342257536998","14.9667262372877","14.8484811284293","15.2091944127482","14.947714549205"
"B4GALT7","14.4979952512695","14.6891298663469","14.7760474260132","14.3493227008653","14.4274765393504","14.7172747856326","14.5319357680727","14.7130964860387","14.6895940126566","14.6776425725397","14.9459604291577","14.657658983682"
"PEF1","14.8188767176206","15.0409574808344","15.428922797805","15.3697745371688","15.794613857784","15.4755434568578","15.5869746239312","15.0819951478933","15.4640989868414","15.7633109365403","15.0548035480533","15.6249581952905"
"ZMYM2","12.3535521129289","12.7669284516367","12.4617991580998","11.9891532025818","12.1629294065257","12.5292475213452","12.2008434457199","12.4073739970816","12.4538493452865","12.4329280984503","12.6881366377731","12.2549164083158"
"COPS7A","16.1987922440878","16.2179520197396","16.1738137486837","16.2045635028357","16.1830809289884","16.1841314939406","16.2390651764578","16.206701519261","16.2527855288572","16.1996167552288","16.1741142503928","16.3258956811011"
"CTSF","14.2617717300882","13.9793180074685","14.3462990304283","14.8218785934949","14.5358403377471","14.3259589052829","14.4663441689344","14.360853941079","14.146703902176","14.4344197306292","13.6829945836817","14.1724743892218"
"SLC25A10","15.0912535503295","15.1879048869526","15.1539517573828","14.7082594569258","14.6526601438634","15.1232201540008","14.7710664205189","15.2671085349024","14.9845519695631","14.9717411206696","14.9467235507476","14.9016965716934"
"KLK11","16.5912082129791","15.7932578338942","17.0689356863673","17.2821020247706","17.0119369825415","16.8680267314354","17.628424179799","17.5161847816793","17.723267636962","16.7585615669988","16.6219803008372","17.4500593944797"
"CLN8","13.9802199235167","14.2049760812558","14.2142659902702","14.0822987597769","14.0397415846054","14.1633430550158","13.8943535863781","13.9783529581651","13.9631489607473","13.9844095576444","14.1418596713465","13.6765190983096"
"AASS","14.6122061888006","14.6688240583581","14.5605955527645","14.4262319896352","14.5307538003979","14.5491108037721","15.0022040961608","15.2234662939981","15.129717692149","15.1190262112743","14.9017578421357","14.9312315163933"
"CLIP2","15.2438545500095","15.2949258248102","15.2982057987979","15.3609705033811","15.3696791293937","15.3221112379062","15.0574291176463","14.8360454224216","14.9317439903758","15.0090631632722","14.9720643533164","15.0399857023263"
"UQCR10","16.7335847220739","16.7224740294595","16.9836505320547","16.5788945006416","16.4675211738988","16.7131985398921","16.940187401698","17.433626189147","17.1875550539079","17.4427977420854","17.3430208484105","16.9750978617314"
"MTFP1","13.0867084778815","13.0787812651557","12.8938930510786","12.6815393079561","12.8210863460372","13.0546331444424","13.3838257717847","13.0785494623111","12.8778075044833","12.7648094042648","13.3686837864221","13.3488802708801"
"TJP2","14.6243099835985","14.5198082259936","14.950391862263","14.9728766045596","14.8505775472056","14.5909846250846","15.1772014976514","15.0412227867478","15.215096879561","15.2067396693456","14.8640506921412","15.2094990583716"
"DNAJB4","17.685145723232","17.8670373693052","17.9050520077671","17.94820180682","17.6471351554947","17.8608020716508","17.9008314381277","18.0924577869752","17.9632121926704","18.0157036060957","17.9197246103166","18.0650847496927"
"MALT1","15.6698705187207","15.9029968318156","15.741646048125","15.9177986147768","15.9590034872019","16.1357333308214","16.5500959230134","16.2577358774082","16.1473301534516","16.4576630286756","16.5670737230813","16.4881209979452"
"STK17A","13.2761345855461","13.3680152941194","13.7415091205709","13.9652431725569","13.5952225094259","13.0708957655713","13.8752693969791","13.8477327170152","13.5248722335718","13.7817592683232","13.4335724015485","13.5048934537964"
"CFDP1","14.0012938298873","13.8905682903066","14.278028320308","14.1359737559529","13.9084207688155","13.7756925770455","13.7278779216532","14.0446844052054","14.1707700830095","14.3720284134838","13.4103453450349","13.4739847248503"
"ZNF629","13.0672612404104","12.702726795523","12.2739121288408","12.7205072033371","12.6613661584375","12.7400821943176","12.436274295569","12.2606461364498","12.5367887318815","12.1258493129467","12.8721611893936","12.222960893794"
"DAXX","13.1122619283741","12.9651655965226","12.7534027161304","12.7575858558849","12.6644050608774","12.5515905152152","12.8082241415402","12.5045856354276","12.5203141995087","12.6369349659625","12.7951548957744","12.64003701406"
"FTSJ1","11.2622651861124","10.7965831541622","9.12907690293063","8.8176264549703","10.3542493819452","11.0028290768937","9.55980534198774","10.369575536665","7.89281599973288","11.3057523293673","10.2871467322193","10.1936239187087"
