name,ID,female_vs_male_p.val,female_vs_male_p.adj,significant,female_vs_male_significant,female_vs_male_ratio,female_centered,male_centered
CDK1,P06493,1.80E-05,0.032,TRUE,TRUE,-0.643,-0.321,0.321
CRF,P06850,1.95E-12,5.40E-14,TRUE,TRUE,-4.67,-2.34,2.34
NFL,P07196,1.09E-11,5.40E-14,TRUE,TRUE,-1.33,-0.666,0.666
NFM,P07197,4.12E-07,3.30E-04,TRUE,TRUE,-0.616,-0.308,0.308
CAH3,P07451,5.50E-08,5.99E-06,TRUE,TRUE,1.42,0.711,-0.711
IGF1R,P08069,1.36E-05,0.0252,TRUE,TRUE,-0.632,-0.316,0.316
CO1A2,P08123,1.01E-09,4.18E-12,TRUE,TRUE,1.41,0.705,-0.705
MGP,P08493,3.47E-09,9.50E-10,TRUE,TRUE,1.59,0.794,-0.794
MET,P08581,2.59E-07,1.54E-04,TRUE,TRUE,0.595,0.297,-0.297
ANXA5,P08758,4.78E-06,0.00903,TRUE,TRUE,0.616,0.308,-0.308
TPM1,P09493,3.59E-07,2.67E-04,TRUE,TRUE,-0.907,-0.454,0.454
GST2,P0CG29,1.83E-06,0.00286,TRUE,TRUE,3.77,1.88,-1.88
RAP2A,P10114,1.10E-07,2.95E-05,TRUE,TRUE,-0.908,-0.454,0.454
GTR1,P11166,1.90E-06,0.003,TRUE,TRUE,-0.773,-0.387,0.387
TOP2A,P11388,9.42E-08,2.13E-05,TRUE,TRUE,-0.787,-0.394,0.394
CO6A3,P12111,2.17E-06,0.00355,TRUE,TRUE,0.789,0.395,-0.395
RLBP1,P12271,2.13E-07,1.09E-04,TRUE,TRUE,2.25,1.13,-1.13
PTHR,P12272,7.64E-06,0.0146,TRUE,TRUE,1.11,0.554,-0.554
ANXA3,P12429,1.54E-09,3.11E-11,TRUE,TRUE,-0.913,-0.456,0.456
CY24A,P13498,2.55E-06,0.00431,TRUE,TRUE,-0.985,-0.492,0.492
NCAM1,P13591,2.34E-07,1.29E-04,TRUE,TRUE,0.914,0.457,-0.457
GFAP,P14136,1.65E-10,5.40E-14,TRUE,TRUE,1.25,0.625,-0.625
AMPN,P15144,2.84E-06,0.00487,TRUE,TRUE,0.672,0.336,-0.336
NQO1,P15559,1.68E-08,2.22E-07,TRUE,TRUE,-0.926,-0.463,0.463
NQO2,P16083,8.02E-10,1.27E-12,TRUE,TRUE,1.55,0.775,-0.775
MGMT,P16455,2.01E-05,0.0352,TRUE,TRUE,-1.39,-0.694,0.694
HMGA1,P17096,5.18E-07,4.81E-04,TRUE,TRUE,0.65,0.325,-0.325
JUNB,P17275,5.70E-06,0.0109,TRUE,TRUE,0.605,0.302,-0.302
CXA1,P17302,7.26E-06,0.0139,TRUE,TRUE,-0.8,-0.4,0.4
NEUM,P17677,4.57E-10,5.40E-14,TRUE,TRUE,-1.83,-0.915,0.915
FILA,P20930,1.43E-07,4.98E-05,TRUE,TRUE,1.37,0.683,-0.683
5NTD,P21589,2.51E-09,2.60E-10,TRUE,TRUE,-1.1,-0.549,0.549
CD9,P21926,4.91E-07,4.41E-04,TRUE,TRUE,0.936,0.468,-0.468
CADH3,P22223,7.76E-07,8.75E-04,TRUE,TRUE,0.779,0.39,-0.39
EST1,P23141,4.65E-07,4.04E-04,TRUE,TRUE,-1.63,-0.816,0.816
PTPRE,P23469,7.46E-07,8.29E-04,TRUE,TRUE,-0.746,-0.373,0.373
PTPRZ,P23471,8.84E-06,0.0168,TRUE,TRUE,-0.673,-0.337,0.337
CRHBP,P24387,3.17E-07,2.18E-04,TRUE,TRUE,-1.85,-0.923,0.923
LAMA1,P25391,2.55E-06,0.00431,TRUE,TRUE,1.16,0.579,-0.579
ITB8,P26012,8.26E-09,2.28E-08,TRUE,TRUE,0.851,0.426,-0.426
PTX3,P26022,2.63E-06,0.00446,TRUE,TRUE,0.652,0.326,-0.326
CO8A1,P27658,1.31E-06,0.00184,TRUE,TRUE,-1.36,-0.678,0.678
PSB9,P28065,2.35E-06,0.00391,TRUE,TRUE,0.718,0.359,-0.359
LYOX,P28300,1.67E-08,2.18E-07,TRUE,TRUE,-0.642,-0.321,0.321
CD34,P28906,9.84E-06,0.0187,TRUE,TRUE,1.47,0.737,-0.737
LMOD1,P29536,5.13E-07,4.73E-04,TRUE,TRUE,-0.603,-0.301,0.301
PML,P29590,1.14E-07,3.13E-05,TRUE,TRUE,0.732,0.366,-0.366
